"","Subject","Activity","CalcType","Domain","AccelType","Device","Magnitude","Jerk","Axis","Value"
"1",1,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"X",-0.259033685185447
"2",1,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Y",0.0663825003136888
"3",1,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Z",-0.129654124167003
"4",1,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"X",-0.256924377482579
"5",1,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Y",-0.240759823443445
"6",1,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Z",-0.34489426839206
"7",1,"WALKING","Mean","Freq","Body","Accelerometer",TRUE,FALSE,NA,-0.0161870917162824
"8",1,"WALKING","Mean","Freq","Body","Accelerometer",TRUE,TRUE,NA,-0.0557280160044957
"9",1,"WALKING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"X",-0.145766683827867
"10",1,"WALKING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"Y",-0.144696186206052
"11",1,"WALKING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"Z",-0.11346170233183
"12",1,"WALKING","Mean","Freq",NA,"Gyroscope",TRUE,FALSE,NA,-0.041835613305245
"13",1,"WALKING","Mean","Freq",NA,"Gyroscope",TRUE,TRUE,NA,-0.143503768288761
"14",1,"WALKING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"X",0.277915250489914
"15",1,"WALKING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"Y",-0.0175368209698646
"16",1,"WALKING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"Z",-0.110151183691643
"17",1,"WALKING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"X",0.0781209627960519
"18",1,"WALKING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"Y",0.00796398044005764
"19",1,"WALKING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"Z",-0.0081170152343804
"20",1,"WALKING","Mean","Time","Body","Accelerometer",TRUE,FALSE,NA,-0.15307230912853
"21",1,"WALKING","Mean","Time","Body","Accelerometer",TRUE,TRUE,NA,-0.206643789985591
"22",1,"WALKING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"X",0.945798792391931
"23",1,"WALKING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"Y",-0.217435492181556
"24",1,"WALKING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"Z",-0.0637141784494986
"25",1,"WALKING","Mean","Time","Gravity","Accelerometer",TRUE,FALSE,NA,-0.15307230912853
"26",1,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"X",-0.0261753871594524
"27",1,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"Y",-0.076205788947781
"28",1,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"Z",0.0790901824432277
"29",1,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"X",-0.0998153261188069
"30",1,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"Y",-0.0396929635407781
"31",1,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"Z",-0.0500742043429683
"32",1,"WALKING","Mean","Time",NA,"Gyroscope",TRUE,FALSE,NA,-0.276741527457349
"33",1,"WALKING","Mean","Time",NA,"Gyroscope",TRUE,TRUE,NA,-0.373553169279539
"34",1,"WALKING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"X",-0.324637423691643
"35",1,"WALKING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"Y",0.0120547560074928
"36",1,"WALKING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"Z",-0.321684502743256
"37",1,"WALKING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"X",-0.251973373669164
"38",1,"WALKING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"Y",0.0375878320386455
"39",1,"WALKING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"Z",-0.512714754163689
"40",1,"WALKING","STD","Freq","Body","Accelerometer",TRUE,FALSE,NA,-0.423702158097983
"41",1,"WALKING","STD","Freq","Body","Accelerometer",TRUE,TRUE,NA,-0.132398593751182
"42",1,"WALKING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"X",-0.516234581680115
"43",1,"WALKING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"Y",-0.300431515048703
"44",1,"WALKING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"Z",-0.464243426916427
"45",1,"WALKING","STD","Freq",NA,"Gyroscope",TRUE,FALSE,NA,-0.449023915247839
"46",1,"WALKING","STD","Freq",NA,"Gyroscope",TRUE,TRUE,NA,-0.390035733175216
"47",1,"WALKING","STD","Time","Body","Accelerometer",FALSE,FALSE,"X",-0.304190061230548
"48",1,"WALKING","STD","Time","Body","Accelerometer",FALSE,FALSE,"Y",0.0682049156273775
"49",1,"WALKING","STD","Time","Body","Accelerometer",FALSE,FALSE,"Z",-0.292314700778386
"50",1,"WALKING","STD","Time","Body","Accelerometer",FALSE,TRUE,"X",-0.223507157120461
"51",1,"WALKING","STD","Time","Body","Accelerometer",FALSE,TRUE,"Y",0.00325945049596542
"52",1,"WALKING","STD","Time","Body","Accelerometer",FALSE,TRUE,"Z",-0.483934122509164
"53",1,"WALKING","STD","Time","Body","Accelerometer",TRUE,FALSE,NA,-0.267518175282421
"54",1,"WALKING","STD","Time","Body","Accelerometer",TRUE,TRUE,NA,-0.119994647462939
"55",1,"WALKING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"X",-0.978027125331412
"56",1,"WALKING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"Y",-0.965418603948127
"57",1,"WALKING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"Z",-0.953592843717579
"58",1,"WALKING","STD","Time","Gravity","Accelerometer",TRUE,FALSE,NA,-0.267518175282421
"59",1,"WALKING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"X",-0.466735313472622
"60",1,"WALKING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"Y",-0.298585817445677
"61",1,"WALKING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"Z",-0.374948487550432
"62",1,"WALKING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"X",-0.252135123453026
"63",1,"WALKING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"Y",-0.410701095568012
"64",1,"WALKING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"Z",-0.360902235649568
"65",1,"WALKING","STD","Time",NA,"Gyroscope",TRUE,FALSE,NA,-0.329712331736311
"66",1,"WALKING","STD","Time",NA,"Gyroscope",TRUE,TRUE,NA,-0.371976050072334
"67",2,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"X",-0.462866222135927
"68",2,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Y",-0.478303206153808
"69",2,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Z",-0.437895191645679
"70",2,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"X",-0.376054820659603
"71",2,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Y",-0.542635857766838
"72",2,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Z",-0.481551047898709
"73",2,"STANDING","Mean","Freq","Body","Accelerometer",TRUE,FALSE,NA,-0.438972227035381
"74",2,"STANDING","Mean","Freq","Body","Accelerometer",TRUE,TRUE,NA,-0.355637356921689
"75",2,"STANDING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"X",-0.596688459910646
"76",2,"STANDING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"Y",-0.585352161164023
"77",2,"STANDING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"Z",-0.514739398051325
"78",2,"STANDING","Mean","Freq",NA,"Gyroscope",TRUE,FALSE,NA,-0.572478641093079
"79",2,"STANDING","Mean","Freq",NA,"Gyroscope",TRUE,TRUE,NA,-0.438661224115397
"80",2,"STANDING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"X",0.278862480298013
"81",2,"STANDING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"Y",-0.0167032282945695
"82",2,"STANDING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"Z",-0.109492104850331
"83",2,"STANDING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"X",0.0751742230562914
"84",2,"STANDING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"Y",0.00888983781797682
